Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working,
EMIRMED,· Medical clinic,Orthopedic clinic,Astana,Kazakhstan,3,-30,Kuyshi Dina St 9,· 8 (708) 911 4038,,Open 24 hours,https://emirmed.kz/,
Stomatologiya Rakhat,· Orthopedic surgeon,Orthopedic clinic,Astana,Kazakhstan,3.3,-38,"Zhk ""Moskva""-1, Amangeldi Imanov Street 17",· 8 (7172) 42 06 06,⋅ Closes 3 PM,Open,https://www.rstom.kz/,
Family Clinic,· Medical centre,Oncological clinics,Astana,Kazakhstan,4.2,-161,Нур-Султан,· 8 (778) 021 7799,⋅ Closes 4 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj3paPDsOiLAxXiE6IDHcGmB-QYABAAGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpq-rh5X8f9EdwE0gJt1kd521lsLi-xh2tuuIku6rgh0UQcjv3xRGQaAovsEALw_wcB&ohost=www.google.com&cid=CAESVeD2TFp7ona5KAhPir0uhSWQVa0igncRG81hKDMV7R5zMroqzK2O3hnArtOlZ30F8VZbfuviSItLhkk7pYOK0xCua7zqOJUlo8VJiGt93t7Ry996wAA&sig=AOD64_1sAT3T7Hndl_p-1xgNuvnDdt1pOg&q=&ctype=99&ved=2ahUKEwjTs57DsOiLAxWKgSoKHeVfFrYQhKwBegQIFBAP&adurl=,
National Scientific Center for Oncology and Transplantation,· Hospital,Oncological clinics,Astana,Kazakhstan,4.1,-131,Kerey and Zhanibek Khans St 3,· 8 (7172) 70 29 11,⋅ Closes 5 PM,Open,http://www.cancercenter.kz/,
Nauchno-Klinicheskiy Tsentr Onkoreabilitatsii,· Medical clinic,Oncological clinics,Astana,Kazakhstan,4.6,-14,"Мақсұт, Нәрікбаев 22",· 8 (7172) 46 90 69,⋅ Closes 3 PM,Open,http://oncomed.kz/#rec333655767,
Muncipal Oncological Prophylactic Center,· Cancer treatment center,Oncological clinics,Astana,Kazakhstan,3.7,-100,Manas St 17,· 8 (7172) 54 20 05,⋅ Opens 8 AM Mon,Closed,https://mmc-astana.kz/,
Natsional'nyy Proizvodstvennyy Tsentr Transfuziologii,· Hospital,Oncological clinics,Astana,Kazakhstan,4.8,-6,Kerey and Zhanibek Khans St 10,,⋅ Closes 8 PM,Open,http://spct.kz/,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Medical Center,Oncological clinics,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
National Surgery Center,· Medical Center,Oncological clinics,Astana,Kazakhstan,4.2,-169,Turan Ave 34/1,· 8 (7172) 62 11 00,⋅ Opens 8 AM Mon,Closed,,
Центр женского здоровья MamaVita,· Medical clinic,Oncological clinics,Astana,Kazakhstan,4.8,-67,"ЖК ""Версаль, Sarayshyq St 40",· 8 (747) 310 9988,⋅ 1 PM,Closes soon,https://mamavita.kz/,
Family Clinic,Medical centre,Neurosurgery,Astana,Kazakhstan,4.2,161,34Б улица Сакена Сейфуллина,8 (778) 021 7799,Closes 4 PM,Open,https://familyclinic.kz/,
Assyl Astana Clinic - медицинский центр,Medical centre,Neurosurgery,Astana,Kazakhstan,4.2,25,11 Б Куанышбаева,8 (700) 027 2277,1:00 PM,Closes soon,,
National Surgery Center,Medical Center,Neurosurgery,Astana,Kazakhstan,4.2,169,Turan Ave 34/1,8 (7172) 62 11 00,Opens 8 AM,Closed,,
LOR Estet Clinic Клиника ЛОР заболеваний и эстетической медицины,· Otolaryngology clinic,Ent clinics,Astana,Kazakhstan,5,-3,улица Алихана Бокейханова 15,· 8 (747) 254 0101,⋅ 1 PM,Closes soon,https://instagram.com/dr_abussagitova,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Medical Center,Ent clinics,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
Assyl Astana Clinic - медицинский центр,· Medical Center,Ent clinics,Astana,Kazakhstan,4.2,-26,Куанышбаева 11 Б,· 8 (700) 027 2277,⋅ 1 PM,Closes soon,http://assylclinic.kz/,
Dom Zdorov'ya,· Medical clinic,Ent clinics,Astana,Kazakhstan,3.1,-144,"Цех №9, Respublika Ave",· 8 (7172) 39 76 18,⋅ Closes 6 PM,Open,https://2gis.kz/nur_sultan/firm/70000001018091118,
EMIRMED,· Medical clinic,Ent clinics,Astana,Kazakhstan,3,-30,Kuyshi Dina St 9,· 8 (708) 911 4038,,Open 24 hours,https://emirmed.kz/,
Lor Tsentr Sezim,· Otolaryngologist,Ent clinics,Astana,Kazakhstan,5,-1,Bogenbay Batyr Ave 54,· 8 (702) 254 2323,⋅ Closes 3 PM,Open,http://sezim.kz/,
"Медицинский центр ""Сенім-А""",· Medical Center,Ent clinics,Astana,Kazakhstan,3.2,-36,Ghabit Musrepov St 10А,· 8 (7172) 49 79 30,⋅ Closes 2 PM,Open,,
Astana Clinic,· Medical clinic,Ent clinics,Astana,Kazakhstan,3.6,-36,Kenesary St 52,· 8 (701) 033 3536,⋅ Closes 2 PM,Open,https://aclinic.kz/,
Ais Clinic,· Medical clinic,Ent clinics,Astana,Kazakhstan,5,-2,Imanbayeva Ulitsa 8,· 8 (747) 065 3380,⋅ Closes 6 PM,Open,https://aisclinic.kz/,
ЛОР центр Сезiм,,Ent clinics,Astana,Kazakhstan,3.2,-31,Abylay Khan Ave 24,8 (778) 406 2826,,,http://sezim.kz/,
МРТ Астана КТ - MRI Astana CT Mediscan,· Medical Center,Ent clinics,Astana,Kazakhstan,3.9,-27,Kenzhebek Kumisbekov St 12в,· 8 (700) 933 3208,⋅ Closes 8 PM,Open,https://mrt.mediscan.kz/?utm_source=gcard&utm_medium=gcard&utm_campaign=gcard,
MedExpress | Медицинская клиника | Астана | Нур-Султан,· Medical clinic,Ent clinics,Astana,Kazakhstan,5,-7,Ұлы Дала проспект 5/2,· 8 (771) 166 7558,⋅ Closes 5 PM,Open,,
"""INFINITY LIFE"" медицина орталығы",· Medical Center,Ent clinics,Astana,Kazakhstan,4.3,-45,Qabanbay Batyr Ave 40,· 8 (747) 095 3961,⋅ Closes 4 PM,Open,https://infinity-life.kz/,
Anna Vi Clinics Медицинский центр Астана,· Medical Center,Ent clinics,Astana,Kazakhstan,3.9,-49,"Aleksandr Barayev St 25, ВП 7",· 8 (702) 309 9900,⋅ Opens 10 AM Sun,Closed,http://www.viclinics.kz/,
Satti Clinic,· Medical clinic,Ent clinics,Astana,Kazakhstan,3.5,-8,Габиден Мустафин 21,· 8 (771) 999 9276,⋅ Closes 9 PM,Open,,
Gastroenterolog,· Gastroenterologist,Gastroenterology clinics,Astana,Kazakhstan,4.8,-12,Kuyshi Dina St 2,· 8 (702) 851 0744,⋅ 1 PM,Closes soon,https://gastro-doc.kz/,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Medical clinic,Gastroenterology clinics,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
LUCEM MEDICAL CLINIC.,· Walk-in clinic,Gastroenterology clinics,Astana,Kazakhstan,4.2,-106,Amanat St 2,· 8 (708) 887 3319,,Open 24 hours,,
Павлова Анастасия Александровна,· Gastroenterologist,Gastroenterology clinics,Astana,Kazakhstan,5,-4,Kuyshi Dina St 2,8 (702) 851 0744,,,https://gastro-doc.kz/kontakty.html,
"Медицинский центр ""Сенім-А""",· Medical Center,Gastroenterology clinics,Astana,Kazakhstan,3.2,-36,Ghabit Musrepov St 10А,· 8 (7172) 49 79 30,⋅ Closes 2 PM,Open,,
American Medical Centers Astana,· Medical clinic,Gastroenterology clinics,Astana,Kazakhstan,5,-10,Kosmonavtov Street 62a,· 8 (7172) 91 97 77,,Open 24 hours,https://amcenters.com/en/astana,
"Медицинский Центр Клиника ""Диамед""",· Medical Center,Gastroenterology clinics,Astana,Kazakhstan,4.7,-14,Qanysh Satbaev St 21,· 8 (7172) 28 21 87,⋅ Closes 2 PM,Open,,
Ұлттық ғылыми медициналық орталық,· Medical Center,Gastroenterology clinics,Astana,Kazakhstan,4.1,-197,Abylay Khan Ave 42,· 8 (7172) 57 74 40,⋅ Opens 10 AM Mon,Closed,http://nnmc.kz/,
Ермен Clinic,· Medical clinic,Gastroenterology clinics,Astana,Kazakhstan,5,-2,Shakarim Kudayberdiuly Avenue д. 34,· 8 (7172) 25 14 20,⋅ Opens 8 AM Mon,Closed,,
Медицинский центр «GERMAN MEDICAL CENTER»,· Hospital,Gastroenterology clinics,Astana,Kazakhstan,4.1,-7,Qabanbay Batyr Ave д.7,· 8 (747) 095 2153,⋅ Closes 3 PM,Open,https://gmc.clinic/,
Keruen Médicus,· Medical Center,Gastroenterology clinics,Astana,Kazakhstan,4,-23,Zheltoqsan St 1,8 (7172) 39 11 15,,,https://life-medicus.kz/,
Gastro center,· · Restaurant,Gastroenterology clinics,Astana,Kazakhstan,4,-76,улица Достык 16п,⋅ Closes 12 AM,"₸2,000–4,000",Open,,
EMIRMED,· Medical clinic,Gastroenterology clinics,Astana,Kazakhstan,3,-30,Kuyshi Dina St 9,· 8 (708) 911 4038,,Open 24 hours,https://emirmed.kz/,
"корпоративный фонд «University Medical Center»,",· Corporate office,Gastroenterology clinics,Astana,Kazakhstan,3.7,-98,Kerey and Zhanibek Khans St ханов 5/1,· 8 (7172) 70 15 70,⋅ Opens 8:30 AM Mon,Closed,http://www.umc.org.kz/,
Sana Vita Medical,· Medical clinic,Gastroenterology clinics,Astana,Kazakhstan,3,-56,Bauyrzhan Momyshuly Ave 16,· 8 (747) 095 0143,⋅ Closes 3 PM,Open,https://clinic.sanavita.kz/?utm_source=gcard&utm_medium=google&utm_campaign=lead,
Клиника Inmed,· Medical Center,Gastroenterology clinics,Astana,Kazakhstan,4,-1,Syganak St 16/1,,,,,
Dr.Ashkeyev Clinic. Клиника урологии. Urological clinic.,· Urologist,Urology  clinics,Astana,Kazakhstan,5,-3,Alikhan Bokeikhan St 11а г,· 8 (707) 709 2400,⋅ Closes 9 PM,Open,"https://www.google.com/maps/dir//Dr.Ashkeyev+Clinic.+%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D1%83%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8.+Urological+clinic.,+Alikhan+Bokeikhan+St+11%D0%B0+%D0%B3,+Astana+020000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4245856179e4e837:0x4ee54d1f6f6bf4aa?sa=X&ved=1t:57443&ictx=111",
Assyl Astana Clinic - медицинский центр,· Urologist,Urology  clinics,Astana,Kazakhstan,4.2,-26,Куанышбаева 11 Б,· 8 (700) 027 2277,⋅ 1 PM,Closes soon,http://assylclinic.kz/,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Urologist,Urology  clinics,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
"Медицинский центр Medi-art - гинеколог, уролог, андролог, эндокринолог, УЗИ, лаборатория, физиотерапия, процедурный",· Urologist,Urology  clinics,Astana,Kazakhstan,4.9,-380,Tauelsizdik Ave 20/1,· 8 (777) 955 5995,⋅ Closes 6 PM,Open,http://www.medi-art.kz/,
Urolog,· Urologist,Urology  clinics,Astana,Kazakhstan,5,-1,улица Кайыма Мухамедханов 21,· 8 (702) 483 0397,⋅ Closes 5 PM,Open,http://alaumed.kz/urologiya.html,
"Too ""Muzhskoy Tsentr Zdorov'ya I Dolgoletiya""",· Medical clinic,Urology  clinics,Astana,Kazakhstan,3.7,-17,Yegemen Qazaqstan Gazeti St 3,· 8 (7172) 37 50 55,⋅ Closes 8 PM,Open,,
Ұлттық ғылыми медициналық орталық,· Medical Center,Urology  clinics,Astana,Kazakhstan,4.1,-197,Abylay Khan Ave 42,· 8 (7172) 57 74 40,⋅ Opens 10 AM Mon,Closed,http://nnmc.kz/,
Многопрофильный медицинский центр DA CLINIC,· Medical Center,Urology  clinics,Astana,Kazakhstan,4.9,-38,Qabanbay Batyr Ave 48а,· 8 (702) 333 9939,⋅ Closes 6 PM,Open,https://daclinic.kz/,
Green clinic,· Medical Center,Urology  clinics,Astana,Kazakhstan,3.2,-129,Khuseyn Ben Talal 25/1,· 8 (7172) 79 77 22,⋅ Closes 2 PM,Open,https://greenclinic.kz/ru/,
Astana Clinic,· Medical clinic,Urology  clinics,Astana,Kazakhstan,3.6,-36,Kenesary St 52,· 8 (701) 033 3536,⋅ Closes 2 PM,Open,https://aclinic.kz/,
Anna Vi Clinics Медицинский центр Астана,· Medical Center,Urology  clinics,Astana,Kazakhstan,3.9,-49,"Aleksandr Barayev St 25, ВП 7",· 8 (702) 309 9900,⋅ Opens 10 AM Sun,Closed,http://www.viclinics.kz/,
LUCEM MEDICAL CLINIC.,· Walk-in clinic,Urology  clinics,Astana,Kazakhstan,4.2,-106,Amanat St 2,· 8 (708) 887 3319,,Open 24 hours,,
National Scientific Center for Oncology and Transplantation,· Hospital,Urology  clinics,Astana,Kazakhstan,4.1,-131,Kerey and Zhanibek Khans St 3,· 8 (7172) 70 29 11,⋅ Closes 5 PM,Open,http://www.cancercenter.kz/,
Family Clinic,· Medical Center,Urology  clinics,Astana,Kazakhstan,4.2,-161,Säken Seyfullin St 34Б,· 8 (707) 103 6661,⋅ Closes 4 PM,Open,http://familyclinic.kz/,
"Медицинский центр ""Сенім-А""",· Medical Center,Urology  clinics,Astana,Kazakhstan,3.2,-36,Ghabit Musrepov St 10А,· 8 (7172) 49 79 30,⋅ Closes 2 PM,Open,,
"корпоративный фонд «University Medical Center»,",· Corporate office,Urology  clinics,Astana,Kazakhstan,3.7,-98,Kerey and Zhanibek Khans St ханов 5/1,· 8 (7172) 70 15 70,⋅ Opens 8:30 AM Mon,Closed,http://www.umc.org.kz/,
National Scientific Center for Mothers and Children,· Medical Center,Urology  clinics,Astana,Kazakhstan,3.9,-284,Turan Ave 32,· 8 (7172) 70 15 50,⋅ Closes 8 PM,Open,http://www.umc.org.kz/,
Alanda Clinic,· Medical clinic,Urology  clinics,Astana,Kazakhstan,4.3,-83,4FQ7+FGG,· 8 (7172) 72 82 40,⋅ Closes 3 PM,Open,http://www.alandaclub.kz/,
ASTANA VISION KIDS г. Астана,· Children Policlinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-1,"10, 020000 Омарова ул.",· 8 (747) 090 5306,⋅ Closes 3 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjzoa_Ms-iLAxVNCqIDHVOuFtAYABAAGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWr4aTaU1u1ib1gZUSSgF156fkTOj_QMXwpZf81ufvLpm5B7GtAu3jgaAh86EALw_wcB&ohost=www.google.com&cid=CAESVeD2lT4qk1I5_sMZaZP6QQx7K0zH0uZRL771eehCpXHgub0qTwzkCNflBF2R8miP2WDSjSy2zfD8UDifxnx7hoWETebGbRUdARcEcm4b33tK45MwQPU&sig=AOD64_0-SSubVa8caeybuHuzcFzIIyRxhg&q=&ctype=99&ved=2ahUKEwiDmKrMs-iLAxXJFBAIHUrTG3cQhKwBegQIIRAP&adurl=,
ASTANA VISION г. Астана,· Ophthalmologist,Ophthalmology  clinics,Astana,Kazakhstan,4.5,-252,Qorghalzhyn Hwy 13/7,· 8 (747) 623 5190,⋅ Closes 3 PM,Open,https://vision.kz/,
Клиника микрохирургии глаза и эстетической медицины в Астане - RB CLINIC,· Ophthalmology clinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-9,Ulitsa Orynbor 010000,· 8 (700) 185 7979,⋅ Closes 7 PM,Open,https://rb-clinic.kz/,
Глазная клиника Доктора Омаровой С.Т.,· Eye care center,Ophthalmology  clinics,Astana,Kazakhstan,3.9,-26,Орынбор көшесі 1,· 8 (701) 888 6577,⋅ Closes 6 PM,Open,http://glazclinic.kz/,
"""Oftum"" Европейский Центр Лазерной Коррекции Зрения",· Ophthalmology clinic,Ophthalmology  clinics,Astana,Kazakhstan,3.9,-19,"26, Блок D, Qasym Amanzholov St",· 8 (777) 888 7778,⋅ Closes 2 PM,Open,http://www.oftum.kz/,
Oftalmed,· Ophthalmology clinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-1,Акмешит 13/3,· 8 (705) 102 0338,⋅ Closes 4 PM,Open,,
Tsentr Vosstanovleniya Zreniya,· Eye care center,Ophthalmology  clinics,Astana,Kazakhstan,4.3,-17,Qabanbay Batyr Ave 13,· 8 (7172) 61 82 82,⋅ 1 PM,Closes soon,,
Tsentr Zreniya Astana,· Ophthalmologist,Ophthalmology  clinics,Astana,Kazakhstan,5,-2,Астана улица Акмешит 11 ЖК АСИ 23/33,· 8 (777) 361 3942,⋅ Closes 8 PM,Open,https://70000001039376585.2gis.biz/,
Glaznaya Klinika Doktora Omarovoy S.t.,,Ophthalmology  clinics,Astana,Kazakhstan,5,-1,Syganak St 1,· 8 (701) 888 6577,⋅ Closes 6 PM,Open,http://glazclinic.kz/,
Filial Kaznii Glaznykh Bolezney,· Research institute,Ophthalmology  clinics,Astana,Kazakhstan,4.4,-331,Zhengis Ave 16/1,· 8 (7172) 99 93 38,⋅ Closes 5 PM,Open,https://eyeinst.kz/,
ASTANA VISION KIDS г. Астана,· Children Policlinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-1,"Omarova Ul. 10, 020000",· 8 (747) 090 5306,⋅ Closes 3 PM,Open,https://vision.kz/detskaya-oftalmologiya/,
LUCEM MEDICAL CLINIC.,· Walk-in clinic,Ophthalmology  clinics,Astana,Kazakhstan,4.2,-106,Amanat St 2,· 8 (708) 887 3319,,Open 24 hours,,
Klinika Mikrokhirurgii Glaza Optima,· Ophthalmologist,Ophthalmology  clinics,Astana,Kazakhstan,4.3,-8,Abay Ave 21,· 8 (7172) 52 47 58,⋅ Opens 9 AM Mon,Closed,,
Kozyreva Lyudmila Nikolayevna,· Ophthalmologist,Ophthalmology  clinics,Astana,Kazakhstan,3.4,-5,Zhengis Ave 16/1,8 (7172) 99 93 38,,,,
"Meditsinskiy Tsentr Mediker Pediatriya, Too Mediker",· Medical Center,Ophthalmology  clinics,Astana,Kazakhstan,3.2,-91,Zhumabek Tashenov St 20,· 8 (7172) 55 81 21,⋅ Closes 5 PM,Open,http://mediker.kz/mc/138/,
Satti Clinic,· Medical clinic,Ophthalmology  clinics,Astana,Kazakhstan,3.5,-8,Габиден Мустафин 21,· 8 (771) 999 9276,⋅ Closes 9 PM,Open,,
Kabinet Okhrany Zreniya,· Walk-in clinic,Ophthalmology  clinics,Astana,Kazakhstan,3,-3,Bayimbet Maylin St 11,,⋅ Closes 8 PM,Open,,
American Medical Centers Astana,· Medical clinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-10,Kosmonavtov Street 62a,· 8 (7172) 91 97 77,,Open 24 hours,https://amcenters.com/en/astana,
Lechebno Diagnosticheskiy Tsentr,· Ophthalmologist,Ophthalmology  clinics,Astana,Kazakhstan,4,-23,Тәуелсіздік 8,· 8 (7172) 36 02 70,⋅ Closes 9 PM,Open,,
ASTANA VISION KIDS г. Астана,· Children Policlinic,Ophthalmology  clinics,Astana,Kazakhstan,5,-1,"10, 020000 Омарова ул.",· 8 (747) 090 5306,⋅ Closes 3 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiGro_Ss-iLAxXFQpEFHbFvNM8YABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWoW-Ly_q7q_IpDhS5GTN3vxmOAMQYrK5xQtOj_NXl6WQaLqFUs3UO4aAm_qEALw_wcB&ohost=www.google.com&cid=CAESVeD2U3YcvTtzWv8mUDDoVzJb0mnVsm3NFGmcgUBuvc1c1pSAHdX1jSUwBFpNXlE1phUSR85ex5iRfyj7MLMRLrhNO4F0oMHr3mhDfkwE5GFUSy_ucVU&sig=AOD64_0qEHMRAM--AO0bs-51fCWhjRFn8A&q=&ctype=99&ved=2ahUKEwiLs4rSs-iLAxU-CRAIHW8zK_I4FBCErAF6BAgIEA8&adurl=,
Bas Dent - стоматология в Астане,· Dental clinic,Dermatology clinics,Astana,Kazakhstan,4.7,-32,Астана,· 8 (708) 166 7425,⋅ Closes 9 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi5zZH1s-iLAxXiUZEFHbnGIooYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpIyN7cmr89FdgqZwxpdPeLP0mxS8l41MZc29XQohd1XddCFFnz3ygaAgKbEALw_wcB&ohost=www.google.com&cid=CAESVeD2GO0VeYq74PsFQGAG2ZrIHy7nVwSDUdP9p8GBRzChL6TPoC-6Wu0jOJsoYuox4rFOeztlGYFuyZl6e1ORLrkitJ6LcZy86pMtEI3y1nW6HC9gsSQ&sig=AOD64_2XeU-k1GNzafZ_eRWzQAn3bOndPQ&q=&ctype=99&ved=2ahUKEwjjtY31s-iLAxXQIhAIHQqvOP8QhKwBegQIKBAP&adurl=,
Jas Klinik,· Dermatologist,Dermatology clinics,Astana,Kazakhstan,3,-4,Bauyrzhan Momyshuly Ave 14,· 8 (778) 078 8187,⋅ Closes 8 PM,Open,,
LUCEM MEDICAL CLINIC.,· Walk-in clinic,Dermatology clinics,Astana,Kazakhstan,4.2,-106,Amanat St 2,· 8 (708) 887 3319,,Open 24 hours,,
"Медицинский центр Он Клиник Астана - уролог, проктолог, гинеколог, урологический центр",· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.6,-150,"Zhk ""Gul'der"", Shokan Valikhanov Street 1",· 8 (705) 536 0303,⋅ Closes 5 PM,Open,https://astana.onclinic.kz/,
Клиника SmartDerma,· Skin care clinic,Dermatology clinics,Astana,Kazakhstan,3,-2,Улица Толе Би 50,· 8 (701) 110 4990,⋅ Closes 8 PM,Open,https://www.instagram.com/smartderma_kz/,
Ayala Clinic Медицинский Центр Аяла клиник Астана,· Medical Center,Dermatology clinics,Astana,Kazakhstan,5,-1,Turkistan Street 28,· 8 (700) 150 1196,⋅ Closes 6 PM,Open,http://ayala-clinic.kz/,
Center for Folk and traditional medicine,· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.8,-117,Kuyshi Dina St 2,· 8 (707) 394 4641,⋅ Closes 7 PM,Open,https://ldc.kz/,
Anna Vi Clinics Медицинский центр Астана,· Dermatologist,Dermatology clinics,Astana,Kazakhstan,3.9,-49,"Aleksandr Barayev St 25, ВП 7",· 8 (702) 309 9900,⋅ Opens 10 AM Sun,Closed,http://www.viclinics.kz/,
Dom Zdorov'ya,· Medical clinic,Dermatology clinics,Astana,Kazakhstan,3.1,-144,"Цех №9, Respublika Ave",· 8 (7172) 39 76 18,⋅ Closes 6 PM,Open,https://2gis.kz/nur_sultan/firm/70000001018091118,
Медицинский центр АМД Лаборатории | трихология Астана,· Dermatologist,Dermatology clinics,Astana,Kazakhstan,3,-2,Dostyq St 1,· 8 (707) 341 0004,⋅ Opens 9 AM Mon,Closed,https://amdlab.kz/,
"Медицинский центр ""Сенім-А""",· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.2,-36,Ghabit Musrepov St 10А,· 8 (7172) 49 79 30,⋅ Closes 2 PM,Open,,
Gorodskoy Tsentr Dermatologii,· Hospital,Dermatology clinics,Astana,Kazakhstan,4,-29,Respublika Ave 50,· 8 (7172) 39 64 59,⋅ Opens 8 AM Mon,Closed,,
Медицинский центр Ultraline,· Medical Center,Dermatology clinics,Astana,Kazakhstan,4.1,-70,Abylay Khana Prospekt 33,· 8 (700) 529 0529,⋅ Closes 8 PM,Open,https://www.ultraline.kz/,
Darus,· Skin care clinic,Dermatology clinics,Astana,Kazakhstan,4.2,-15,Turkistan Street 10,· 8 (701) 401 6168,⋅ Closes 9 PM,Open,https://darus.kz/,
American Medical Centers Astana,· Medical clinic,Dermatology clinics,Astana,Kazakhstan,5,-10,Kosmonavtov Street 62a,· 8 (7172) 91 97 77,,Open 24 hours,https://amcenters.com/en/astana,
Green clinic,· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.2,-129,Khuseyn Ben Talal 25/1,· 8 (7172) 79 77 22,⋅ Closes 2 PM,Open,https://greenclinic.kz/ru/,
Мейрім,· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.1,-157,Syganak St 1,· 8 (701) 217 5904,⋅ Closes 8 PM,Open,https://meyrim.kz/,
Bas Dent - стоматология в Астане,· Dental clinic,Dermatology clinics,Astana,Kazakhstan,4.7,-32,Астана,· 8 (708) 166 7425,⋅ Closes 9 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjl7uv5s-iLAxWjUZEFHbpHDQQYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWqVDWYTIGHpEb0XGWv_tWoEHZGN40hF373gJhoNNtcadx6JvqNbmlgaArcOEALw_wcB&ohost=www.google.com&cid=CAESVeD29SSxx5puY_5qr60SZ6sRc1X1P7fKuAll56CyzsZEVQxxHclRx2O35UkxMUnHLCwNXtUpRoxiYGaiqgI_N-nbNglreC5AzJC05429UroO0PbIRt0&sig=AOD64_3L2Pd0nwHvw651MkmwV2jOiNvW-w&q=&ctype=99&ved=2ahUKEwj3juf5s-iLAxUQIBAIHQLYGvs4FBCErAF6BAgPEA8&adurl=,
Ұлттық ғылыми медициналық орталық,· Medical Center,Dermatology clinics,Astana,Kazakhstan,4.1,-197,Abylay Khan Ave 42,· 8 (7172) 57 74 40,⋅ Opens 10 AM Mon,Closed,http://nnmc.kz/,
Центр Традиционной и Народной Медицины,· Medical Center,Dermatology clinics,Astana,Kazakhstan,3.4,-5,Aleksandr Kravtsov St 1,· 8 (7172) 37 24 48,⋅ Closes 2 PM,Open,https://ldc.kz/,
Family Clinic,· Medical centre,Physical Therapy & Rehabilitation Clinic,Astana,Kazakhstan,4.2,-161,Нур-Султан,· 8 (778) 021 7799,⋅ Closes 4 PM,Open,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjtm8vKtOiLAxXp7LIKHSO6JIgYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpKAcYJ_1lt5XuHVoGKjeWUOwTUVTZjUlrHeWQhHD2iUAPEzfEPyOMaAn0AEALw_wcB&ohost=www.google.com&cid=CAESVeD2w8WKjZGm1wxVNF8kYb_LqWUdS6wnkEWKrgtsg3H20j8W5gQJTTwDEgSjsHoTKf0N4kytUJzlynwmFENfhgnMubR5ihT8risebvVRd1eSUpYrkmk&sig=AOD64_3ypzDCm2kHEMHDmfVcz9xvwzKxRQ&q=&ctype=99&ved=2ahUKEwi-zMbKtOiLAxWXQVUIHe8yMMEQhKwBegQIKBAP&adurl=,· Medical centre
"Tsentr Ortopedicheskoy I Sportivnoy Reabilitatsii ""Atlant""",· Rehabilitation center,Physical Therapy & Rehabilitation Clinic,Astana,Kazakhstan,4,-6,Turan Ave 6/1А,· 8 (7172) 72 89 38,⋅ Closes 4 PM,Open,http://www.atlant-med.kz/,
Aisera Clinic - Медицинский центр по лечению и восстановлению после заболеваний,· Physical therapy clinic,Physical Therapy & Rehabilitation Clinic,Astana,Kazakhstan,4.5,-15,Jumeken Najimedenov St 14,· 8 (708) 425 0938,⋅ Closes 5 PM,Open,https://aiseraclinic.com/,
